datetime,precipitation,humidity,temperature,pressure,station,station_code,year,precip_2h,precip_6h,pressure_drop,flood_risk
2021-04-02 18:00:00,0.0,73.0,19.4,898.1,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2021-08-15 21:00:00,0.0,84.0,14.9,899.5,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.39999999999997726,0
2023-11-18 16:00:00,0.0,34.0,31.9,893.2,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2023-08-26 19:00:00,0.0,87.0,11.7,897.3,NOVA_FRIBURGO,A624,2023,0.0,0.1999999999999858,-1.1999999999999318,0
2021-01-19 00:00:00,0.0,84.0,17.0,897.2,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.5,0
2022-09-01 08:00:00,0.0,84.0,9.5,902.8,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.09999999999990905,0
2021-04-12 00:00:00,0.0,89.0,12.4,899.0,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.8999999999999773,0
2024-09-17 05:00:00,0.2,87.0,13.0,901.5,NOVA_FRIBURGO,A624,2024,1.3999999999999848,2.599999999999986,0.0,0
2022-02-27 04:00:00,0.0,92.0,17.3,899.4,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2024-02-28 15:00:00,,58.0,27.2,896.6,NOVA_FRIBURGO,A624,2024,,,0.0,0
2021-05-30 20:00:00,0.0,89.0,18.6,899.9,NOVA_FRIBURGO,A624,2021,0.0,0.0,-1.1000000000000227,0
2024-08-20 17:00:00,0.0,25.0,25.5,900.8,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2023-11-07 19:00:00,0.0,71.0,18.7,900.0,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2021-10-14 04:00:00,0.0,89.0,15.8,896.6,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2021-04-01 01:00:00,0.0,79.0,16.5,893.9,NOVA_FRIBURGO,A624,2021,0.0,0.7999999999999999,-0.39999999999997726,0
2024-01-08 17:00:00,,57.0,26.8,896.0,NOVA_FRIBURGO,A624,2024,,,0.0,0
2022-01-21 17:00:00,0.0,62.0,24.8,897.6,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2022-11-13 01:00:00,1.6,89.0,17.5,896.6,NOVA_FRIBURGO,A624,2022,2.3999999999999932,3.200000000000002,-0.7000000000000455,0
2023-03-15 16:00:00,0.0,76.0,21.9,899.3,NOVA_FRIBURGO,A624,2023,0.0,0.1999999999999929,0.0,0
2021-02-11 15:00:00,0.0,64.0,23.1,898.5,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2025-05-18 02:00:00,0.0,91.0,13.4,902.9,NOVA_FRIBURGO,A624,2025,0.0,0.0,0.0,0
2021-07-09 05:00:00,0.0,94.0,4.5,902.3,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2024-12-11 04:00:00,1.0,86.0,16.5,893.3,NOVA_FRIBURGO,A624,2024,6.39999999999999,43.19999999999998,-0.09999999999990905,0
2024-08-01 11:00:00,0.0,90.0,12.5,907.0,NOVA_FRIBURGO,A624,2024,0.0,0.0,-0.7999999999999545,0
2024-07-16 22:00:00,0.0,88.0,13.6,905.9,NOVA_FRIBURGO,A624,2024,0.0,0.0,-0.6999999999999318,0
2021-01-01 14:00:00,0.0,51.0,27.3,897.4,NOVA_FRIBURGO,A624,2021,0.2,0.2,0.0,0
2021-10-09 00:00:00,0.2,91.0,13.8,899.6,NOVA_FRIBURGO,A624,2021,0.5999999999999999,1.8,-1.1000000000000227,0
2022-06-27 11:00:00,0.0,89.0,11.4,903.3,NOVA_FRIBURGO,A624,2022,0.0,1.2,-1.099999999999909,0
2024-10-22 15:00:00,0.0,61.0,23.5,901.1,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
